epoch,accuracy,loss,val_accuracy,val_loss
0,0.11168000102043152,3.9031293392181396,0.18160000443458557,3.4913694858551025
1,0.21729999780654907,3.269925117492676,0.24070000648498535,3.179823160171509
2,0.26952001452445984,2.9913136959075928,0.26030001044273376,3.061418056488037
3,0.3085800111293793,2.797508716583252,0.28600001335144043,2.9585671424865723
4,0.33636000752449036,2.6466002464294434,0.3021000027656555,2.8941495418548584
5,0.3621799945831299,2.5262396335601807,0.31049999594688416,2.8538708686828613
6,0.38537999987602234,2.4243335723876953,0.3107999861240387,2.8652825355529785
7,0.40174001455307007,2.3378427028656006,0.31290000677108765,2.896001100540161
8,0.44137999415397644,2.171433925628662,0.3345000147819519,2.8044986724853516
9,0.4575200080871582,2.101675271987915,0.33329999446868896,2.822274923324585
10,0.4700799882411957,2.046226739883423,0.3352000117301941,2.8441162109375
11,0.4916999936103821,1.9512302875518799,0.3458000123500824,2.8204007148742676
12,0.5013800263404846,1.9126564264297485,0.3458999991416931,2.8339335918426514
13,0.5144000053405762,1.8559043407440186,0.35089999437332153,2.825396776199341
14,0.5208799839019775,1.8356025218963623,0.35120001435279846,2.832612991333008
15,0.5287799835205078,1.8051939010620117,0.35019999742507935,2.8237271308898926
16,0.5319200158119202,1.7945451736450195,0.35089999437332153,2.828233480453491
17,0.5367400050163269,1.778663158416748,0.3531999886035919,2.8247227668762207
18,0.5381799936294556,1.7728073596954346,0.35359999537467957,2.827169179916382
19,0.5396599769592285,1.764321208000183,0.3538999855518341,2.8276736736297607
