epoch,accuracy,loss,val_accuracy,val_loss
0,0.06487999856472015,5.162747383117676,0.03020000085234642,5.556694030761719
1,0.12008000165224075,4.8131608963012695,0.13079999387264252,4.853575706481934
2,0.16072000563144684,4.587419509887695,0.09220000356435776,5.873651027679443
3,0.1820800006389618,4.409644603729248,0.1632999924659729,4.507741451263428
4,0.2043199986219406,4.2298197746276855,0.11969999969005585,5.032980918884277
5,0.22220000624656677,4.112556457519531,0.2273000031709671,3.850196599960327
6,0.24921999871730804,3.976745843887329,0.23729999363422394,3.8701000213623047
7,0.25949999690055847,3.936880111694336,0.2637999951839447,3.6705620288848877
8,0.271699994802475,3.897137403488159,0.23469999432563782,3.7853715419769287
9,0.2842400074005127,3.8425800800323486,0.2264000028371811,3.905357837677002
10,0.28964000940322876,3.8384921550750732,0.2354000061750412,3.8582217693328857
11,0.3043400049209595,3.784010887145996,0.30000001192092896,3.5546576976776123
12,0.31147998571395874,3.7626781463623047,0.15530000627040863,4.410191059112549
13,0.31742000579833984,3.745845317840576,0.28690001368522644,3.642124652862549
14,0.32155999541282654,3.746764898300171,0.28780001401901245,3.592628240585327
15,0.3311600089073181,3.720186948776245,0.30160000920295715,3.586458921432495
16,0.33709999918937683,3.7114365100860596,0.2962999939918518,3.5582242012023926
17,0.3342199921607971,3.7154479026794434,0.2702000141143799,3.689230442047119
18,0.35047999024391174,3.640312433242798,0.2409999966621399,3.8599815368652344
19,0.35740000009536743,3.626277446746826,0.29260000586509705,3.6262190341949463
20,0.36484000086784363,3.615328073501587,0.3521000146865845,3.351266384124756
21,0.373199999332428,3.564636468887329,0.3179999887943268,3.4784348011016846
22,0.377020001411438,3.553081512451172,0.3375000059604645,3.4576120376586914
23,0.3828200101852417,3.5293545722961426,0.33899998664855957,3.3566014766693115
24,0.38468000292778015,3.5195436477661133,0.3465999960899353,3.3175976276397705
25,0.3930400013923645,3.492931604385376,0.37369999289512634,3.2483229637145996
26,0.4011000096797943,3.4527862071990967,0.36730000376701355,3.2765989303588867
27,0.40564000606536865,3.449946880340576,0.34279999136924744,3.4993999004364014
28,0.41047999262809753,3.4336390495300293,0.3767000138759613,3.2511608600616455
29,0.4161199927330017,3.4012553691864014,0.335099995136261,3.481600284576416
30,0.4196600019931793,3.3952691555023193,0.42340001463890076,3.0432679653167725
31,0.42820000648498535,3.3660831451416016,0.38989999890327454,3.1705543994903564
32,0.4307999908924103,3.3573944568634033,0.4099999964237213,3.1270358562469482
33,0.43720000982284546,3.3290998935699463,0.45159998536109924,2.9668655395507812
34,0.44391998648643494,3.3027074337005615,0.4214000105857849,3.0642807483673096
35,0.44850000739097595,3.288994789123535,0.3928000032901764,3.158243179321289
36,0.45372000336647034,3.2658331394195557,0.48750001192092896,2.803222894668579
37,0.45381999015808105,3.26962947845459,0.4528999924659729,2.8986635208129883
38,0.4594399929046631,3.2465453147888184,0.40779998898506165,3.1444549560546875
39,0.4657999873161316,3.2148094177246094,0.4535999894142151,2.915862798690796
40,0.4684000015258789,3.224708318710327,0.47749999165534973,2.834897994995117
41,0.47562000155448914,3.2042250633239746,0.42089998722076416,3.0270588397979736
42,0.48127999901771545,3.1646440029144287,0.4645000100135803,2.8872787952423096
43,0.47905999422073364,3.176157236099243,0.46630001068115234,2.870286464691162
44,0.4812000095844269,3.1714694499969482,0.4763000011444092,2.8186848163604736
45,0.4837400019168854,3.1674790382385254,0.4424999952316284,2.940413475036621
46,0.4901599884033203,3.1440513134002686,0.5041999816894531,2.683969259262085
47,0.500980019569397,3.0957608222961426,0.4584999978542328,2.852144479751587
48,0.5034400224685669,3.095407485961914,0.4537999927997589,2.9142823219299316
49,0.49955999851226807,3.107806921005249,0.5303000211715698,2.6387040615081787
50,0.5110999941825867,3.0590972900390625,0.545799970626831,2.544940710067749
51,0.5114399790763855,3.0703890323638916,0.5339000225067139,2.609391450881958
52,0.5077800154685974,3.0937912464141846,0.5224000215530396,2.6468043327331543
53,0.5194200277328491,3.0463387966156006,0.5430999994277954,2.602912664413452
